ACE,platform,stop_position
1,27.5268292682927,28.9727488151659
2,19.8804878048781,17.8293838862559
3,9.17560975609756,20.0580568720379
4,6.11707317073171,11.14336492891
5,13.7634146341463,26.0011848341232
6,21.409756097561,19.3151658767773
7,18.3512195121951,20.8009478672986
8,13.7634146341463,11.8862559241706
9,18.3512195121951,3.71445497630332
10,16.8219512195122,11.8862559241706
11,12.2341463414634,15.6007109004739
12,7.64634146341463,7.42890995260663
13,6.11707317073171,8.91469194312796
14,6.11707317073171,11.14336492891
15,4.58780487804878,5.20023696682464
16,4.58780487804878,0.742890995260663
17,6.11707317073171,8.91469194312796
18,12.2341463414634,4.45734597156398
19,16.8219512195122,8.91469194312796
20,3.05853658536585,4.45734597156398
21,3.05853658536585,1.48578199052133
22,6.11707317073171,11.14336492891
23,4.58780487804878,8.91469194312796
24,3.05853658536585,1.48578199052133
25,NA,NA
26,NA,NA
27,1.52926829268293,1.48578199052133
28,0,4.45734597156398
29,4.58780487804878,8.91469194312796
30,1.52926829268293,4.45734597156398
31,10.7048780487805,0.742890995260663
32,0,13.3720379146919
33,0,17.8293838862559
34,4.58780487804878,3.71445497630332
35,13.7634146341463,3.71445497630332
36,10.7048780487805,2.22867298578199
37,3.05853658536585,0.742890995260663
38,3.05853658536585,5.20023696682464
39,13.7634146341463,0.742890995260663
40,6.11707317073171,5.94312796208531
41,10.7048780487805,5.20023696682464
42,0,11.8862559241706
43,0,2.97156398104265
44,0,2.97156398104265
45,1.52926829268293,7.42890995260663
46,19.8804878048781,17.0864928909953
47,0,26.7440758293839
48,3.05853658536585,11.14336492891
49,12.2341463414634,4.45734597156398
50,6.11707317073171,4.45734597156398
51,12.2341463414634,5.20023696682464
52,24.4682926829268,7.42890995260663
53,NA,NA
54,0,23.7725118483412
55,3.05853658536585,0
56,1.52926829268293,5.20023696682464
57,1.52926829268293,1.48578199052133
58,NA,NA
59,NA,NA
60,4.58780487804878,8.91469194312796
62,38.2317073170732,24.5154028436019
63,7.64634146341463,11.14336492891
64,74.9341463414634,37.8874407582938
65,0,1.48578199052133
66,NA,NA
67,4.58780487804878,1.48578199052133
68,0,17.8293838862559
69,0,31.2014218009479
70,NA,NA
71,0,4.45734597156398
72,0,1.48578199052133
73,0,11.8862559241706
74,NA,NA
75,1.52926829268293,0.742890995260663
76,NA,NA
77,NA,NA
78,NA,NA
79,NA,NA
80,NA,NA
81,7.64634146341463,4.45734597156398
82,0,19.3151658767773
83,12.2341463414634,8.1718009478673
84,3.05853658536585,8.1718009478673
85,7.64634146341463,10.4004739336493
61,35.1731707317073,37.8874407582938
